"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 12, 2018","246.54","247.08","248.50","245.65","1.28M","-0.23%"
"Mar 09, 2018","247.12","242.43","247.39","240.94","1.64M","2.77%"
"Mar 08, 2018","240.47","242.00","242.01","236.18","1.84M","-0.50%"
"Mar 07, 2018","241.68","240.00","243.41","239.50","1.65M","-0.56%"
"Mar 06, 2018","243.04","243.57","244.62","241.58","1.43M","0.45%"
"Mar 05, 2018","241.94","239.40","243.11","237.19","1.06M","0.26%"
"Mar 02, 2018","241.31","241.58","242.82","238.00","1.73M","-0.98%"
"Mar 01, 2018","243.70","246.35","250.47","242.49","1.97M","-1.10%"
"Feb 28, 2018","246.41","249.56","251.60","246.26","1.74M","-0.94%"
"Feb 27, 2018","248.74","254.63","255.92","248.61","1.39M","-2.27%"
"Feb 26, 2018","254.51","253.00","255.15","250.00","1.53M","0.91%"
"Feb 23, 2018","252.22","248.22","252.24","247.50","1.81M","2.77%"
"Feb 22, 2018","245.43","244.15","248.19","244.05","1.38M","0.88%"
"Feb 21, 2018","243.30","241.00","247.75","241.00","1.28M","0.96%"
"Feb 20, 2018","240.98","243.36","244.30","240.25","1.13M","-1.31%"
"Feb 16, 2018","244.19","244.00","247.72","242.60","1.48M","-0.34%"
"Feb 15, 2018","245.03","241.92","245.13","238.67","1.71M","1.75%"
"Feb 14, 2018","240.82","239.75","242.33","238.85","1.82M","0.21%"
"Feb 13, 2018","240.32","238.74","241.53","236.72","1.54M","0.16%"
"Feb 12, 2018","239.93","236.81","241.38","235.40","2.67M","1.96%"
"Feb 09, 2018","235.32","235.70","239.00","226.20","5.15M","-1.65%"
"Feb 08, 2018","239.27","251.65","251.65","239.14","2.74M","-4.73%"
"Feb 07, 2018","251.15","248.96","254.47","248.51","1.52M","0.39%"
"Feb 06, 2018","250.18","244.44","254.12","242.51","3.37M","0.68%"
"Feb 05, 2018","248.50","252.48","259.13","248.36","2.32M","-2.88%"
"Feb 02, 2018","255.87","260.58","261.24","255.72","1.66M","-2.28%"
"Feb 01, 2018","261.83","258.15","265.67","257.33","2.32M","-0.25%"
"Jan 31, 2018","262.48","263.70","267.17","261.66","1.76M","0.39%"
"Jan 30, 2018","261.46","266.54","266.84","259.51","2.46M","-2.33%"
"Jan 29, 2018","267.69","267.50","270.55","267.27","1.15M","-0.43%"
"Jan 26, 2018","268.85","268.51","269.00","265.69","1.52M","0.30%"
"Jan 25, 2018","268.04","271.10","271.10","266.77","1.60M","-0.88%"
"Jan 24, 2018","270.41","272.44","272.88","268.82","1.42M","-0.59%"
"Jan 23, 2018","272.02","273.95","273.95","271.32","1.18M","-0.68%"
"Jan 22, 2018","273.89","273.05","274.10","271.30","1.01M","-0.16%"
"Jan 19, 2018","274.32","272.78","274.38","269.82","1.42M","0.79%"
"Jan 18, 2018","272.18","272.27","274.66","270.65","1.90M","0.25%"
"Jan 17, 2018","271.49","270.64","271.90","268.05","1.38M","0.71%"
"Jan 16, 2018","269.58","272.27","273.16","267.21","1.67M","-0.84%"
"Jan 12, 2018","271.85","271.25","271.90","269.56","1.34M","0.24%"
"Jan 11, 2018","271.19","268.50","271.20","267.62","1.65M","1.19%"
"Jan 10, 2018","268.01","265.30","268.72","263.62","1.64M","0.10%"
"Jan 09, 2018","267.75","270.00","271.00","267.00","1.65M","-0.34%"
"Jan 08, 2018","268.66","268.90","270.17","266.89","1.96M","1.03%"
"Jan 05, 2018","265.92","266.25","271.39","263.62","2.86M","0.39%"
"Jan 04, 2018","264.88","262.29","266.22","262.00","2.60M","1.56%"
"Jan 03, 2018","260.82","257.26","261.57","256.01","2.15M","1.25%"
"Jan 02, 2018","257.60","250.83","257.60","250.00","2.46M","3.23%"
