,brand,model,price
748,Balenciaga ,Triple S White Navy ,635
749,Balenciaga ,Triple S White ,635
750,Balenciaga ,Triple S Black White Red  2018 ,635
751,Nike ,Air Force 1 Low  Cartoon ,635
752,Balenciaga ,Track White ,635
753,Nike ,Kobe 6 FC Barcelona ,635
754,Balenciaga ,Speed Trainers Mid Black Light Pink ,634
755,Nike ,Air Force 1 Low Anti Social Social Club ComplexCon ,634
756,Balenciaga ,Triple S Clear Sole ,633
757,Nike ,Dunk SB High ,633
758,Dior ,Dior Low Top Black Canvas ,632
759,Nike ,SB Dunk High ,632
760,Nike ,Air Fear Of God 1 Light ,630
761,Nike ,Air Force 1 Low Year of the ,630
