Date, Close/Last, Volume, Open, High, Low
05/05/2017, $150.24, 17104730, $151.45, $151.63, $149.79
05/04/2017, $150.85, 36185180, $150.17, $151.52, $148.72
05/03/2017, $151.8, 28301550, $153.6, $153.6, $151.34
05/02/2017, $152.78, 21617190, $153.34, $153.44, $151.66
05/01/2017, $152.46, 25170200, $151.74, $152.57, $151.42
04/28/2017, $150.25, 30607510, $149.5, $151.53, $149.07
04/27/2017, $147.7, 11072600, $146.67, $147.75, $146.14
04/26/2017, $146.56, 12388100, $147.09, $147.59, $146.09
04/25/2017, $146.49, 17718030, $145.79, $147.15, $145.7898
04/24/2017, $145.47, 14397480, $144.96, $145.6738, $144.34
04/21/2017, $143.68, 12172640, $143.9, $144.17, $142.27
04/20/2017, $143.8, 15948700, $142.95, $144.25, $142.689
04/19/2017, $142.27, 15544500, $141.35, $143.04, $141.27
04/18/2017, $140.96, 14795020, $141.27, $141.905, $140.61
04/17/2017, $141.42, 11488510, $139.76, $141.55, $139.75
04/13/2017, $139.39, 10939950, $139.62, $140.58, $139.33
04/12/2017, $139.58, 11600930, $139.72, $140.4, $139.44
04/11/2017, $139.92, 16627940, $140.8, $141.0299, $138.81
04/10/2017, $141.04, 9033921, $141, $141.43, $140.63
04/07/2017, $140.78, 11811450, $141.2, $141.55, $140.24
04/06/2017, $141.17, 15089610, $142.11, $142.22, $140.91
04/05/2017, $141.85, 17132150, $142.26, $143.44, $141.29
04/04/2017, $141.73, 11934110, $141.86, $142.09, $141.27
04/03/2017, $142.28, 13552550, $141.93, $142.47, $140.82
03/31/2017, $142.05, 11366390, $142.31, $142.63, $141.89
03/30/2017, $142.41, 12393610, $142.4, $142.95, $141.85
03/29/2017, $142.65, 16504590, $141.99, $142.86, $141.43
03/28/2017, $141.76, 14660670, $140.36, $141.95, $140.01
03/27/2017, $140.32, 12791820, $139.05, $140.65, $138.77
03/24/2017, $140.34, 16636900, $140.08, $141.0244, $139.76
03/23/2017, $139.53, 12992700, $139.48, $140.39, $139.09
03/22/2017, $139.59, 17020610, $137.93, $139.79, $137.6
03/21/2017, $138.51, 29855980, $141.15, $142.3082, $138.4
03/20/2017, $139.94, 12002150, $139.71, $140.19, $139.25
03/17/2017, $139.84, 20487730, $140.34, $140.34, $139.7
03/16/2017, $139.99, 13604260, $140.2, $140.25, $139.73
03/15/2017, $139.72, 19315340, $139.29, $140.1, $138.49
03/14/2017, $139.32, 12935370, $139.46, $139.46, $138.52
03/13/2017, $139.6, 10949000, $138.71, $139.68, $138.6729
03/10/2017, $138.79, 16299220, $138.91, $139.49, $138.22
