,metascore,name,console,playerscore,date,genre,brand
7139,5.9,Splatterhouse,PS3,7.9,2010-11-23,Action-Adventure,Sony
7140,5.9,The Adventures of Tintin: The Game,PS3,5.7,2011-12-06,Action-Adventure,Sony
7141,5.9,King Arthur,PS2,8.0,2004-11-17,Action-Adventure,Sony
7142,5.9,N.E.R.O.: Nothing Ever Remains Obscure,PS4,6.5,2016-06-24,Visual Novel,Sony
7143,5.9,Riding Spirits,PS2,8.5,2002-08-31,Racing,Sony
7144,5.9,Spider-Man: Friend or Foe,WII,8.1,2007-10-02,Action-Adventure,Nintendo
7145,5.9,How to Survive,X360,6.3,2013-10-23,Action-Adventure,Microsoft
7146,5.9,Harvest Moon: Skytree Village,3DS,6.5,2016-11-08,Simulation,Nintendo
7147,5.9,Dynasty Warriors: Strikeforce,X360,6.0,2010-02-16,Action-Adventure,Microsoft
7148,5.9,Open Season,X360,7.3,2006-09-19,Platform,Microsoft
7149,5.9,Nicktoons: Battle for Volcano Island,PS2,7.2,2006-10-24,Action-Adventure,Sony
7150,5.9,Garfield: A Tale of Two Kitties,DS,0.0,2006-10-17,Platform,Nintendo
7151,5.9,Tamagotchi Connection: Corner Shop,DS,7.7,2006-01-31,Simulation,Nintendo
7152,5.9,Fist of the North Star: Ken's Rage,X360,7.1,2010-11-02,Action-Adventure,Microsoft
7153,5.9,Naruto Shippuden: Ultimate Ninja Impact,PSP,7.3,2011-10-18,Fighting,Sony
7154,5.9,How to Train Your Dragon,WII,7.0,2010-03-23,Action-Adventure,Nintendo
7155,5.9,The Lord of the Rings: The Fellowship of the Ring,PS2,4.4,2002-10-16,Action-Adventure,Sony
7156,5.9,Dark Void,X360,5.8,2010-01-19,Action-Adventure,Microsoft
7157,5.9,KrissX,X360,0.0,2010-01-27,Puzzle,Microsoft
7158,5.9,Disney Sports Football,GC,0.0,2002-12-08,Sports,Nintendo
7159,5.9,Tom Clancy's Ghost Recon,GC,5.4,2003-02-09,Shooter,Nintendo
7160,5.9,Cabela's Big Game Hunter,PS2,7.8,2002-11-26,Sports,Sony
7161,5.9,Eragon,PSP,0.0,2006-11-14,Role-Playing,Sony
7162,5.9,The Lord of the Rings: The Fellowship of the Ring,XBOX,6.6,2002-09-26,Action-Adventure,Microsoft
7163,5.9,Surf's Up,PS3,5.1,2007-05-30,Sports,Sony
7164,5.9,Transformers: Dark of the Moon,X360,6.5,2011-06-14,Action-Adventure,Microsoft
7165,5.9,MX vs. ATV Untamed,PSP,7.5,2007-12-17,Racing,Sony
7166,5.9,Dark Void,PS3,6.1,2010-01-19,Action-Adventure,Sony
7167,5.9,LEGO Battles: Ninjago,DS,7.4,2011-04-12,Strategy,Nintendo
7168,5.9,Headhunter: Redemption,XBOX,7.4,2004-09-21,Action-Adventure,Microsoft
7169,5.9,Teenage Mutant Ninja Turtles,PS2,8.4,2003-10-21,Platform,Sony
7170,5.9,Pryzm Chapter One: The Dark Unicorn,PS2,5.2,2002-06-10,Action-Adventure,Sony
7171,5.8,Jackass the Game,PSP,6.7,2007-09-27,Action-Adventure,Sony
7172,5.8,Tenchu: Fatal Shadows,PS2,7.8,2005-02-15,Action-Adventure,Sony
7173,5.8,The Legend of Heroes III: Song of the Ocean,PSP,7.1,2007-01-23,Role-Playing,Sony
7174,5.8,Super Army War,GBA,0.0,2005-02-22,Action-Adventure,Nintendo
7175,5.8,Iron Phoenix,XBOX,6.5,2005-03-25,Fighting,Microsoft
7176,5.8,The Dwarves,XONE,3.8,2016-12-01,Role-Playing,Microsoft
7177,5.8,Tom Clancy's Ghost Recon 2,PS2,5.7,2004-11-30,Shooter,Sony
7178,5.8,Jackass the Game,PS2,6.7,2007-09-24,Action-Adventure,Sony
7179,5.8,Aegis Wing,X360,7.0,2007-05-16,Shooter,Microsoft
7180,5.8,Dungeons & Dragons Tactics,PSP,7.6,2007-08-14,Strategy,Sony
7181,5.8,Vigilante 8: Arcade,X360,8.5,2008-11-05,Action-Adventure,Microsoft
7182,5.8,TiQal,X360,7.3,2008-03-26,Puzzle,Microsoft
7183,5.8,Alone in the Dark,X360,5.6,2008-06-23,Action-Adventure,Microsoft
7184,5.8,MySims Kingdom,DS,0.0,2008-10-28,Simulation,Nintendo
7185,5.8,Dead by Daylight,XONE,6.1,2017-06-20,Action-Adventure,Microsoft
7186,5.8,Marvel Nemesis: Rise of the Imperfects,XBOX,7.5,2005-09-20,Fighting,Microsoft
7187,5.8,Blaster Master: Overdrive,WII,8.4,2010-02-08,Shooter,Nintendo
7188,5.8,The Lord of the Rings: Aragorn's Quest,PS3,6.3,2010-09-14,Action-Adventure,Sony
7189,5.8,Romancing SaGa,PS2,8.0,2005-10-11,Role-Playing,Sony
7190,5.8,The Lord of the Rings: Aragorn's Quest,WII,8.3,2010-09-14,Action-Adventure,Nintendo
7191,5.8,Futurama,XBOX,6.7,2003-08-14,Platform,Microsoft
7192,5.8,Furry Legends,WII,6.3,2010-07-19,Platform,Nintendo
7193,5.8,Defender,X360,0.0,2006-11-15,Shooter,Microsoft
7194,5.8,Pet Alien: An Intergalactic Puzzlepalooza,DS,0.0,2007-08-28,Action-Adventure,Nintendo
7195,5.8,Code Lyoko: Quest for Infinity,WII,8.3,2007-11-16,Action-Adventure,Nintendo
7196,5.8,Assassin's Creed: Altair's Chronicles,DS,6.1,2008-02-05,Action-Adventure,Nintendo
7197,5.8,Fishing Master,WII,8.1,2007-09-18,Sports,Nintendo
7198,5.8,Bleach: Shattered Blade,WII,7.3,2007-10-09,Fighting,Nintendo
7199,5.8,Rush'n Attack,X360,0.0,2007-05-23,Platform,Microsoft
7200,5.8,Constantine,PS2,7.7,2005-02-14,Action-Adventure,Sony
7201,5.8,Marvel Nemesis: Rise of the Imperfects,PSP,8.7,2005-10-04,Fighting,Sony
7202,5.8,Lost in Blue 2,DS,0.0,2007-03-20,Action-Adventure,Nintendo
7203,5.8,Spider-Man: Edge of Time,PS3,7.2,2011-10-04,Action-Adventure,Sony
7204,5.8,Kao the Kangaroo Round 2,PS2,8.7,2006-03-29,Platform,Sony
7205,5.8,Dynasty Warriors 7,X360,8.0,2011-03-29,Action-Adventure,Microsoft
7206,5.8,Rocky Balboa,PSP,6.6,2007-03-13,Sports,Sony
7207,5.8,BMX XXX,XBOX,7.8,2002-11-10,Sports,Microsoft
7208,5.8,Drawn to Life: The Next Chapter,WII,6.0,2009-10-27,Puzzle,Nintendo
7209,5.8,How to Train Your Dragon,X360,7.6,2010-03-23,Action-Adventure,Microsoft
7210,5.8,Tomb Raider: Legend,DS,8.3,2006-11-14,Action-Adventure,Nintendo
7211,5.8,Steel Diver,3DS,6.2,2011-03-27,Action-Adventure,Nintendo
7212,5.8,DualPenSports,3DS,3.5,2011-06-21,Sports,Nintendo
7213,5.8,Bleach: Soul Resurreccion,PS3,7.0,2011-08-03,Fighting,Sony
