,ID,Year,per_capita,thousand_tons
895,450,1985,0.1,1056
896,450,1995,0.1,1265
897,450,2005,0.1,1742
898,450,2010,0.1,1958
899,450,2012,0.1,2706
900,450,2013,0.1,3117
901,450,2014,0.1,3077
902,454,1975,0.1,579
903,454,1985,0.1,557
904,454,1995,0.1,920
905,454,2005,0.1,876
906,454,2010,0.1,1144
907,454,2012,0.1,1096
908,454,2013,0.1,1225
909,454,2014,0.1,1276
910,458,1975,1.6,19446
911,458,1985,2.3,36237
912,458,1995,5.8,121132
913,458,2005,6.7,174487
914,458,2010,7.8,218476
915,458,2012,7.6,218707
916,458,2013,8.0,236510
917,458,2014,8.1,242821
918,462,1975,0.0,7
919,462,1985,0.3,66
920,462,1995,1.0,249
921,462,2005,2.1,601
922,462,2010,2.8,935
923,462,2012,3.2,1111
924,462,2013,3.1,1093
925,462,2014,3.7,1335
926,466,1975,0.0,341
927,466,1985,0.0,407
928,466,1995,0.0,469
929,466,2005,0.1,898
930,466,2010,0.1,964
931,466,2012,0.1,994
932,466,2013,0.1,1027
933,466,2014,0.1,1412
934,470,1975,2.2,667
935,470,1985,3.4,1199
936,470,1995,5.5,2123
937,470,2005,6.6,2699
938,470,2010,6.2,2560
939,470,2012,6.5,2681
940,470,2013,5.6,2340
941,470,2014,5.6,2347
942,584,1995,1.3,66
943,584,2005,1.7,84
944,584,2010,2.0,103
945,584,2012,1.9,103
946,584,2013,2.0,103
947,584,2014,1.9,103
956,478,1975,0.4,510
957,478,1985,0.4,656
958,478,1995,0.5,1074
959,478,2005,0.5,1588
960,478,2010,0.6,2237
961,478,2012,0.7,2655
962,478,2013,0.7,2670
963,478,2014,0.7,2710
964,480,1975,0.7,590
965,480,1985,0.7,708
966,480,1995,1.6,1830
967,480,2005,2.6,3297
968,480,2010,3.2,3916
969,480,2012,3.2,3968
970,480,2013,3.2,4070
971,480,2014,3.3,4228
972,484,1975,2.7,164472
973,484,1985,3.8,288501
974,484,1995,3.6,332817
975,484,2005,4.4,466362
976,484,2010,3.9,464308
977,484,2012,4.1,496325
978,484,2013,4.0,490340
979,484,2014,3.8,480271
980,583,1995,1.0,106
981,583,2005,1.1,121
982,583,2010,1.1,114
983,583,2012,1.3,136
984,583,2013,1.4,143
985,583,2014,1.4,150
986,496,1975,2.8,4067
987,496,1985,4.7,9028
988,496,1995,3.4,7921
989,496,2005,3.4,8562
990,496,2010,5.1,13821
991,496,2012,9.4,26226
992,496,2013,13.6,38753
993,496,2014,7.2,20840
994,499,2010,4.1,2582
995,499,2012,3.7,2336
996,499,2013,3.6,2248
997,499,2014,3.5,2211
998,500,1975,1.0,11
999,500,1985,2.2,26
1000,500,1995,3.3,33
1001,500,2005,6.6,37
1002,500,2010,13.0,66
1003,500,2012,8.5,44
