,ID,Year,Real growth rate,Per capita,In millions
813,356,2005,7.9,720.0,823612.0
814,356,2010,8.5,1356.0,1669620.0
815,356,2015,8.2,1639.0,2145537.0
816,356,2016,7.1,1714.0,2270060.0
817,356,2017,6.7,1923.0,2575667.0
818,360,1985,2.5,617.0,102171.0
819,360,1995,8.2,1195.0,236456.0
820,360,2005,5.7,1343.0,304372.0
821,360,2010,6.2,3113.0,755094.0
822,360,2015,4.9,3335.0,860854.0
823,360,2016,5.0,3570.0,932256.0
824,360,2017,5.1,3847.0,1015539.0
825,364,1985,1.9,1611.0,76257.0
826,364,1995,2.4,1888.0,114364.0
827,364,2005,3.2,3216.0,226452.0
828,364,2010,5.8,6586.0,491099.0
829,364,2015,-1.3,4958.0,393436.0
830,364,2016,13.4,5299.0,425403.0
831,364,2017,3.8,5680.0,460976.0
832,368,1985,0.0,775.0,12074.0
833,368,1995,-18.3,172.0,3477.0
834,368,2005,4.4,1343.0,36268.0
835,368,2010,5.5,3808.0,117138.0
836,368,2015,3.8,4467.0,161316.0
837,368,2016,9.6,4342.0,161530.0
838,368,2017,1.0,4756.0,182024.0
839,372,1985,3.1,5974.0,21296.0
840,372,1995,9.6,18958.0,69225.0
841,372,2005,6.0,50236.0,211644.0
842,372,2010,1.8,48009.0,222134.0
843,372,2015,25.8,61933.0,291092.0
844,372,2016,5.0,63952.0,302243.0
845,372,2017,7.8,69604.0,331430.0
846,376,1985,4.0,6706.0,27379.0
847,376,1995,8.7,18793.0,100239.0
848,376,2005,4.1,21568.0,142411.0
849,376,2010,5.5,31475.0,233733.0
850,376,2015,2.6,37258.0,300471.0
851,376,2016,4.0,38987.0,319378.0
852,376,2017,3.5,42452.0,353268.0
853,380,1985,2.8,7905.0,450706.0
854,380,1995,2.9,20449.0,1170824.0
855,380,2005,0.9,31503.0,1852616.0
856,380,2010,1.7,35578.0,2125058.0
857,380,2015,0.9,30792.0,1832273.0
858,380,2016,1.1,31451.0,1869117.0
859,380,2017,1.6,32747.0,1943835.0
860,388,1985,-4.6,1114.0,2605.0
861,388,1995,1.0,2592.0,6578.0
862,388,2005,0.9,4097.0,11244.0
863,388,2010,-1.5,4692.0,13219.0
864,388,2015,0.9,4940.0,14187.0
865,388,2016,1.4,4886.0,14077.0
866,388,2017,1.0,5130.0,14827.0
867,392,1985,5.2,11476.0,1398893.0
868,392,1995,2.7,43118.0,5449118.0
869,392,2005,1.7,37054.0,4755410.0
870,392,2010,4.2,44341.0,5700098.0
871,392,2015,1.4,34342.0,4394978.0
872,392,2016,0.9,38742.0,4949273.0
873,392,2017,1.7,38220.0,4872415.0
874,400,1985,-2.7,1786.0,5173.0
875,400,1995,6.2,1488.0,6802.0
876,400,2005,8.1,2226.0,12720.0
877,400,2010,2.7,3692.0,26520.0
878,400,2015,2.6,4140.0,37923.0
879,400,2016,2.1,4145.0,39197.0
880,400,2017,2.1,4196.0,40708.0
881,398,1995,-8.2,1282.0,20563.0
